id_consulta,texto_consulta,etiqueta
250,"Mi hijo se cayó y tiene un corte profundo, ¿a dónde podemos ir urgentemente? Lo antes posible.",Urgencia_Medica
185,"Necesito ayuda inmediatamente, tengo fiebre muy alta y no puedo respirar bien. Mi número de paciente es 987654.",Urgencia_Medica
69,"Mi hijo se cayó y tiene un corte profundo, ¿a dónde podemos ir urgentemente? Estoy muy preocupado/a.",Urgencia_Medica
896,"No entiendo la nota sobre mis resultados de laboratorio, ¿alguien me los puede interpretar? Mi número de paciente es 987654.",Consulta_Resultados
876,Quisiera saber si el doctor ya revisó los resultados de la resonancia magnética.,Consulta_Resultados
839,¿Puedo pasar a recoger los resultados de mi prueba de COVID? Estoy muy preocupado/a.,Consulta_Resultados
572,"Tengo una duda con el copago que aparece en el último recibo, ¿pueden aclararlo? Por favor, respondan pronto.",Facturacion
976,¿Han llegado los resultados del ultrasonido que me hice el lunes pasado? Mi número de paciente es 987654.,Consulta_Resultados
904,¿Están listos los resultados de mis análisis de sangre de la semana pasada? Mi número de paciente es 987654.,Consulta_Resultados
160,"Mi hijo se cayó y tiene un corte profundo, ¿a dónde podemos ir urgentemente? Mi número de paciente es 987654.",Urgencia_Medica
118,"Mi hijo se cayó y tiene un corte profundo, ¿a dónde podemos ir urgentemente? Por favor, respondan pronto.",Urgencia_Medica
950,"¿Puedo pasar a recoger los resultados de mi prueba de COVID? Por favor, contacten conmigo.",Consulta_Resultados
654,Necesito solicitar una copia de mi factura de hace dos meses para mi seguro. Estoy muy preocupado/a.,Facturacion
256,Quiero programar una cita para un chequeo de rutina la próxima semana. Mi número de paciente es 987654.,Cita_Medica
420,"Estoy buscando una cita inicial con un dermatólogo, preferiblemente por la mañana. Por favor, contacten conmigo.",Cita_Medica
599,"La compañía de seguros no ha cubierto la totalidad del servicio, ¿me ayudan a revisar la factura? Lo antes posible.",Facturacion
590,"El cobro no se procesó correctamente, necesito hablar con el departamento de cuentas. Lo antes posible.",Facturacion
209,"He tomado demasiados medicamentos por error, por favor, necesito hablar con un médico de inmediato. Por favor, respondan pronto.",Urgencia_Medica
407,"Necesito reprogramar mi consulta con el especialista en cardiología, la hora anterior no me sirve.",Cita_Medica
807,"No entiendo la nota sobre mis resultados de laboratorio, ¿alguien me los puede interpretar? Estoy muy preocupado/a.",Consulta_Resultados
286,¿Podría ver si el doctor García tiene disponibilidad para una consulta el martes?,Cita_Medica
