id,tema,titulo,resumen,fuente,fecha
E001,solar,Eficiencia y costes de paneles fotovoltaicos actuales,Últimos avances en silicio PERC y bifaciales; mejoras en coste/W y despliegue en escala industrial. Tendencia hacia integración en edificios y sistemas flotantes.,Informe interno / revisión 2024,2024-11-15
E002,perovskita,Células de perovskita: promesa y limitaciones,"Elevadas eficiencias en laboratorio (>25%), problema de estabilidad y encapsulado; investigación en sustitutos del plomo y estrategias de integración híbrida.",Artículo técnico 2023,2023-07-02
E003,eolica,Turbinas y control inteligente para parques eólicos,"Optimización de palas, control activo y digitalización para reducir O&M; auge del offshore con turbinas de mayor diámetro y flotantes.",Whitepaper 2024,2024-03-20
E004,almacenamiento_baterias,Baterías: estado del arte y reciclaje,Predominio de litio-ion; investigación en estado sólido y baterías de sodio. Retos en reciclaje y trazabilidad de materiales críticos.,Revisión industrial 2024,2024-06-10
E005,hidrogeno,Hidrógeno verde: producción y aplicaciones,Electrólisis alimentada por renovables; aplicaciones en industria pesada y transporte pesado. Problemas: coste del kWh y eficiencia en cadena completa.,Informe energético 2022,2022-12-01
E006,hidraulica,Pequeñas centrales hidráulicas y modernización,Modernización de presas y microhidráulica para mejorar flexibilidad; importancia en almacenamiento estacional y servicios de red.,Estudio técnico 2021,2021-09-14
E007,geotermia,Geotermia de media y alta entalpía,Uso industrial y de calefacción urbana; innovación en perforación y recuperación de calor residual para aumentar viabilidad económica.,Paper académico 2020,2020-05-30
E008,redes_inteligentes,Redes eléctricas inteligentes y gestión de la demanda,"Flexibilización mediante VPP, respuesta a la demanda y uso de IA para previsión y balance. Importante para integración masiva de renovables.",Informe de mercado 2024,2024-02-11
E009,politica,Políticas y subsidios para energías renovables,"Comparativa de incentivos fiscales, subastas y metas nacionales; impacto directo en costes de despliegue y atracción de inversión privada.",Análisis regulatorio 2023,2023-10-05
E010,economia,Modelos económicos para proyectos renovables,"Evaluaciones LCOE, análisis de sensibilidad, financiación verde y estructuras PPA; consideraciones de riesgo de mercado.",Manual financiero 2022,2022-08-21
