id,categoria,titulo,contenido
1,Tecnología,Avances en IA,La inteligencia artificial está transformando la industria del software.
2,Salud,Nuevos tratamientos,Se desarrollan terapias genéticas para enfermedades raras.
3,Educación,Aprendizaje automático,El machine learning se utiliza en plataformas educativas personalizadas.
4,Economía,Mercados globales,Los mercados bursátiles muestran volatilidad ante cambios geopolíticos.
5,Ciencia,Descubrimiento espacial,Un nuevo telescopio detecta exoplanetas similares a la Tierra.
6,Tecnología,Computación cuántica,Se logran avances en la estabilidad de los qubits.
7,Salud,Vacunas innovadoras,Se desarrollan vacunas de ARN para distintas enfermedades infecciosas.
8,Educación,Gamificación,Las técnicas de gamificación aumentan la motivación del estudiante.
9,Ciencia,Energía renovable,Investigadores crean paneles solares más eficientes.
10,Economía,Inflación,La inflación global afecta los precios de productos básicos.
