id,titulo,contenido,categoria,fecha
1,Beneficios del ejercicio físico,El ejercicio físico mejora la salud mental y la resistencia cardiovascular. También ayuda a regular el sueño y reducir ansiedad.,ejercicio,2024-01-15
2,Nutrición balanceada,"Una dieta equilibrada incluye frutas, verduras, proteínas y carbohidratos complejos. Mantener hidratación adecuada es clave para la energía.",nutricion,2023-12-01
3,Estrés laboral,El estrés laboral afecta la productividad y la salud mental de los empleados. Técnicas de manejo del tiempo y pausas activas ayudan a mitigarlo.,salud,2024-02-10
4,Mindfulness y meditación,Técnicas de meditación y mindfulness ayudan a reducir ansiedad y estrés. La práctica diaria mejora concentración y bienestar emocional.,meditacion,2023-11-20
5,Alimentación y energía,Qué comer para mantener energía y concentración durante el día. Evitar exceso de azúcares y comidas procesadas es recomendable.,nutricion,2024-03-05
6,Ejercicio en casa,"Rutinas de ejercicio en casa sin equipo pueden mejorar fuerza, resistencia y bienestar mental. Recomendado 30 minutos diarios.",ejercicio,2024-02-20
7,Relajación guiada,Audio y técnicas de relajación guiada ayudan a reducir niveles de cortisol y mejorar la calidad del sueño.,meditacion,2024-01-30
8,Higiene del sueño,"Prácticas para mejorar la higiene del sueño incluyen horarios fijos, evitar pantallas antes de dormir y mantener ambiente oscuro y silencioso.",salud,2023-12-15
9,Plan nutricional personalizado,"Cómo crear un plan nutricional según edad, peso y objetivos. La personalización aumenta adherencia y resultados.",nutricion,2024-01-25
10,Estiramientos matutinos,"Realizar estiramientos por la mañana aumenta la flexibilidad, reduce tensión muscular y mejora circulación.",ejercicio,2024-03-10
