id_reseña,texto_reseña,etiqueta_comida_pos,etiqueta_servicio_pos,etiqueta_ambiente_pos,etiqueta_precio_pos,etiqueta_comida_neg,etiqueta_servicio_neg,etiqueta_ambiente_neg,etiqueta_precio_neg
gr_00001,"El local estaba sucio y descuidado. En resumen, no creo que volvamos.",0,0,0,0,0,0,1,0
gr_00002,"La comida estaba deliciosa. El local tiene una decoración preciosa. Los camareros fueron muy atentos y amables. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,0,0,0,0,0
gr_00003,"Fue carísimo, un auténtico robo. El pollo estaba crudo. Servicio lento y desorganizado. Una experiencia decepcionante.",0,0,0,0,1,1,0,1
gr_00004,Era nuestra primera vez en este sitio.. Fuimos a cenar el sábado por la noche.,0,0,0,0,0,0,0,0
gr_00005,Tengo sentimientos encontrados sobre este lugar. El local tiene una decoración preciosa. Fue una velada agradable.,0,0,1,0,0,0,0,0
gr_00006,"Lo recomendaría, pero con reservas.. Fuimos a cenar el sábado por la noche.",0,0,0,0,0,0,0,0
gr_00007,"Reservamos mesa para cuatro. Había un ruido insoportable, no se podía hablar. No vale lo que cuesta, ni de lejos. Una calidad pésima, no lo recomiendo. En resumen, no creo que volvamos.",0,0,0,0,1,0,1,1
gr_00008,"Tengo sentimientos encontrados sobre este lugar. Nos atendieron muy rápido. La relación calidad-precio es inmejorable. Sitio ideal para una cena romántica. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,1,0,0,0,0
gr_00009,"El servicio fue excepcional. Música de fondo perfecta. Salimos muy contentos con la cuenta. El mejor plato que he probado en mucho tiempo. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00010,"Tengo sentimientos encontrados sobre este lugar. Tienen un menú del día con un precio fantástico. La presentación de los platos era impecable. Nos atendieron muy rápido. Sitio ideal para una cena romántica. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00011,"Lo recomendaría, pero con reservas. El pollo estaba crudo. En resumen, no creo que volvamos.",0,0,0,0,1,0,0,0
gr_00012,Fuimos a cenar el sábado por la noche. Tienen un menú del día con un precio fantástico. El local tiene una decoración preciosa. Fue una velada agradable.,0,0,1,1,0,0,0,0
gr_00013,Era nuestra primera vez en este sitio. El local estaba sucio y descuidado. Una experiencia decepcionante.,0,0,0,0,0,0,1,0
