ticket_id,tokens,ner_tags
tkt_00000,"['El', 'sistema', 'Windows', '11', 'se', 'reinicia', 'solo', 'cuando', 'abro', 'la', 'Firewall', 'XG-2100', '.']","['O', 'O', 'B-OS', 'I-OS', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'O']"
tkt_00001,"['¿Pueden', 'ayudarme,', 'por', 'favor?', 'Es', 'muy', 'urgente.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
tkt_00002,"['No', 'hay', 'conexión.', 'El', 'log', 'muestra', 'E_CONN_REFUSED', '.', 'Uso', 'Red', 'Hat', 'Enterprise', '9', 'y', 'Monitor', 'UltraView', '27', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ERR', 'O', 'O', 'B-OS', 'I-OS', 'I-OS', 'I-OS', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'O']"
tkt_00003,"['No', 'hay', 'conexión.', 'El', 'log', 'muestra', 'RUNTIME_ERROR', '505', '.', 'Uso', 'Windows', 'Server', '2022', 'y', 'Agente', 'de', 'Backup', 'v3.1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ERR', 'I-ERR', 'O', 'O', 'B-OS', 'I-OS', 'I-OS', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'O']"
tkt_00004,"['Error', '0x00A45F', 'al', 'conectar', 'con', 'el', 'Router', 'Pro-Link', 'XG', '.']","['O', 'B-ERR', 'O', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'O']"
tkt_00005,"['Error', 'E_CONN_REFUSED', 'al', 'conectar', 'con', 'el', 'Servidor', 'PowerEdge', 'R7', '.']","['O', 'B-ERR', 'O', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'O']"
tkt_00006,"['Tengo', 'un', 'problema', 'con', 'Firewall', 'XG-2100', '.']","['O', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'O']"
tkt_00007,"['La', 'actualización', 'de', 'iOS', '17', 'rompió', 'la', 'compatibilidad', 'con', 'Impresora', 'Laserjet', '400', 'dando', 'RUNTIME_ERROR', '505', '.']","['O', 'O', 'O', 'B-OS', 'I-OS', 'O', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'O', 'B-ERR', 'I-ERR', 'O']"
tkt_00008,"['No', 'puedo', 'instalar', 'el', 'App', 'de', 'Contabilidad', 'Plus', 'en', 'mi', 'macOS', 'Sonoma', 'nuevo.']","['O', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'O', 'O', 'B-OS', 'I-OS', 'O']"
tkt_00009,"['Mi', 'Firewall', 'XG-2100', 'no', 'funciona', 'en', 'Red', 'Hat', 'Enterprise', '9', 'desde', 'ayer.']","['O', 'B-PROD', 'I-PROD', 'O', 'O', 'O', 'B-OS', 'I-OS', 'I-OS', 'I-OS', 'O', 'O']"
tkt_00010,"['Estoy', 'recibiendo', 'el', 'código', '0xDEADBEEF', 'constantemente', 'en', 'el', 'Base', 'de', 'Datos', 'SQL-Flex', '.']","['O', 'O', 'O', 'O', 'B-ERR', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'O']"
tkt_00011,"['He', 'probado', 'a', 'reiniciar', 'el', 'ordenador', 'varias', 'veces', 'y', 'no', 'funciona.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
tkt_00012,"['El', 'servicio', 'técnico', 'anterior', 'no', 'me', 'dio', 'una', 'solución.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
tkt_00013,"['Mi', 'equipo', 'es', 'un', 'macOS', 'Sonoma', 'y', 'el', 'software', 'App', 'de', 'Contabilidad', 'Plus', 'falla.']","['O', 'O', 'O', 'O', 'B-OS', 'I-OS', 'O', 'O', 'O', 'B-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'O']"
