id_mensaje,mensaje_cliente,clasificacion_real
AF-0001,@AeroFenox Contactaré a mi abogado si no resuelven esto.. Estoy en el aeropuerto desde las 854:20 con mi familia.. Estoy aquí desde la 189:20 y nadie me da una solución.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0002,Estoy en el aeropuerto desde las 559:07 con mi familia.. El personal no sabe qué hacer.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0003,¿Cuál es mi nuevo horario?. Esto arruinó mi viaje de negocios a Barcelona.. Llevo 15 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0004,Su atención en el aeropuerto es pésima.. Estoy aquí desde la 400:01 y nadie me da una solución.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0005,@AeroFenox Su atención en el aeropuerto es pésima.. Estoy en el aeropuerto desde las 987:22 con mi familia.. Llevo 9 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0006,"@AeroFenox Estoy en el aeropuerto desde las 646:11 con mi familia.. Esto va contra mis derechos de pasajero, aténganse a las consecuencias.","{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0007,@AeroFenox Llevo 3 horas sin saber nada y con una conexión urgente que he perdido.. Mi vuelo AF-924-A de las 20:55 fue cancelado.. Nadie contesta al teléfono.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0008,Quiero el reembolso completo de mi vuelo.. Estoy aquí desde la 651:15 y nadie me da una solución.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0009,Mi vuelo AF-873-A de las 12:25 fue cancelado.. ¿Hay algún comunicado oficial?,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0010,Estoy aquí desde la 981:21 y nadie me da una solución.. Ponganme en cualquier vuelo que salga hoy.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0011,QUIERO EL REEMBOLSO COMPLETO DE MI VUELO.. ESTO ARRUINÓ MI VIAJE DE NEGOCIOS A ROMA.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 4}"
AF-0012,Llevo 11 horas sin saber nada y con una conexión urgente que he perdido.. ¿A qué hora se reanudan los vuelos?,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0013,@AeroFenox Mi vuelo AF-346-A de las 15:00 fue cancelado.. ¿A qué hora se reanudan los vuelos?,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0014,QUIERO EL REEMBOLSO COMPLETO DE MI VUELO.. LLEVO 6 HORAS SIN SABER NADA Y CON UNA CONEXIÓN URGENTE QUE HE PERDIDO.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 4}"
AF-0015,"@AeroFenox Llevo 8 horas sin saber nada y con una conexión urgente que he perdido.. Estoy aquí desde la 562:23 y nadie me da una solución.. Esto va contra mis derechos de pasajero, aténganse a las consecuencias.","{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0016,@AeroFenox Su atención en el aeropuerto es pésima.. Mi vuelo AF-334-A de las 18:40 fue cancelado.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0017,"Estoy en el aeropuerto desde las 903:07 con mi familia.. Esto arruinó mi viaje de negocios a Milán.. El vuelo fue cancelado, quiero el reembolso.","{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
